"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL374495";"CINNABARAMIDE D";"None";"369.46";"0";"0.97";"4";"CCCCCC(O)[C@H]1C(=O)N[C@](C(=O)O)([C@@H](O)[C@@H]2C=CCCC2)[C@@]1(C)O";"IC50";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"18.95";"0.37";"6.03";"5.51";"0";"CHEMBL909078";"Inhibition of human 20S proteasome";"B";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1141377";"1";"Scientific Literature";"J Nat Prod";"2007";"None";"";"";"";"100.0"
"CHEMBL362804";"";"None";"609.72";"1";"3.89";"TP-109";"COc1ccc(C[C@H](NC(=O)Cc2cccc3ccccc23)C(=O)N[C@H](C(=O)NC(C=O)Cc2ccc(O)cc2)C(C)C)cc1";"IC50";"'='";"31000.0";"nM";"4.51";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL837922";"Inhibitory concentration to inhibit the PGPH activity of 20S proteasome prepared from human leukemia HL-60 cells was determined";"F";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"HL-60";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1143504";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"CHEMBL3307654";"";"";"";"31.0"
"CHEMBL2371767";"";"None";"540.66";"1";"1.36";"TP-111";"COc1ccc(C[C@@H](C=O)NC(=O)[C@@H](NC(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)CN(C)C)C(C)C)cc1";"IC50";"'='";"7800.0";"nM";"5.11";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL834792";"Inhibitory concentration to inhibit trypsin-like activity of 20S proteasome from human leukemia HL-60 cells was determined";"F";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"HL-60";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1143504";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"CHEMBL3307654";"";"";"";"7.8"
"CHEMBL360654";"";"None";"609.72";"1";"3.89";"TP-108";"COc1ccc(CC(C=O)NC(=O)[C@@H](NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)Cc2cccc3ccccc23)C(C)C)cc1";"IC50";"'='";"38000.0";"nM";"4.42";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL837922";"Inhibitory concentration to inhibit the PGPH activity of 20S proteasome prepared from human leukemia HL-60 cells was determined";"F";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"HL-60";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1143504";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"CHEMBL3307654";"";"";"";"38.0"
"CHEMBL361462";"";"None";"623.75";"1";"4.19";"TP-110";"COc1ccc(CC(C=O)NC(=O)[C@@H](NC(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)Cc2cccc3ccccc23)C(C)C)cc1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL834792";"Inhibitory concentration to inhibit trypsin-like activity of 20S proteasome from human leukemia HL-60 cells was determined";"F";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"HL-60";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1143504";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"CHEMBL3307654";"";"";"";"100.0"
"CHEMBL26866";"";"None";"873.11";"3";"5.40";"19";"COc1ccc(CNC(=O)[C@@H](NC(=O)[C@H](NCc2ccc(N(C)C)cc2)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)Cc2cccc3ccccc23)C(C)(C)C)C(C)C)c(O)c1";"IC50";"'='";"160.0";"nM";"6.80";"";"";"UO_0000065";"7.78";"0.15";"1.40";"3.75";"0";"CHEMBL615352";"Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome";"B";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1136019";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";"";"";"0.16"
"CHEMBL5397699";"";"None";"454.43";"0";"2.72";"15";"COc1ccc(Cn2nc(C(=O)Nc3ccc(F)c(C(=O)NC4CC4)c3)ccc2=O)cc1F";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5352349";"Inhibition of chymotrypsin like activity in human proteasome using Suc-LLVY-Rho-110-D-Proline peptide as substrate preincubated for 10 mins followed by substrate addition and measured for 30 mins by fluorescence based microplate reader analysis";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL5346981";"1";"Scientific Literature";"J Med Chem";"2023";"None";"TIME = 0.6667 hr";"";"";"4.0"
"CHEMBL5400082";"";"None";"553.57";"1";"2.42";"23";"COc1ccc(Cn2nc(C(=O)Nc3ccc(F)c(C(=O)N[C@H]4C[C@H](N5CCOCC5)C4)c3)ccc2=O)cc1F";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5352349";"Inhibition of chymotrypsin like activity in human proteasome using Suc-LLVY-Rho-110-D-Proline peptide as substrate preincubated for 10 mins followed by substrate addition and measured for 30 mins by fluorescence based microplate reader analysis";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL5346981";"1";"Scientific Literature";"J Med Chem";"2023";"None";"TIME = 0.6667 hr";"";"";"4.0"
"CHEMBL74336";"";"None";"563.74";"1";"3.53";"7d";"CC(C)CC(C=O)NC(=O)C(CCC/N=C(\N)N[N+](=O)[O-])NC(=O)C(CCCCCCCCC#N)C1CCCC1";"IC50";"'='";"6.0";"nM";"8.22";"";"";"UO_0000065";"14.58";"0.28";"4.69";"4.27";"0";"CHEMBL615353";"Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain";"B";"BAO_0000220";"subcellular format";"Homo sapiens";"CHEMBL3638188";"Brain";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1128409";"1";"Scientific Literature";"J Med Chem";"1995";"None";"";"";"";"6.0"
"CHEMBL4445118";"";"None";"1249.49";"None";"None";"12";"CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](C)C(N)=O";"Activity";"";"";"";"";"";"";"";"";"";"";"";"0";"CHEMBL4371819";"Negative allosteric modulation of SDS-activated human erythrocytes 20S proteasome assessed as reduction in human alpha-synuclein degradation at 10 uM after 1 hr by SDS-PAGE analysis";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL4371016";"1";"Scientific Literature";"J Med Chem";"2019";"None";"";"";"Active";""
"CHEMBL4473076";"";"None";"1258.51";"None";"None";"4";"CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(N)=O";"Activity";"";"";"";"";"";"";"";"";"";"";"";"0";"CHEMBL4371821";"Negative allosteric modulation of SDS-activated human erythrocytes 20S proteasome assessed as reduction in yeast enolase degradation at 10 uM after 1 hr by SDS-PAGE analysis";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL4371016";"1";"Scientific Literature";"J Med Chem";"2019";"None";"";"";"Not active";""
"CHEMBL27225";"";"None";"920.12";"4";"5.36";"17";"COc1ccc(CNC(=O)[C@@H](NC(=O)[C@H](NCc2ccc(OC)c(OC)c2OC)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)Cc2cccc3ccccc23)C(C)(C)C)C(C)C)c(O)c1";"IC50";"'='";"18.0";"nM";"7.75";"";"";"UO_0000065";"8.42";"0.16";"2.38";"3.76";"0";"CHEMBL615352";"Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome";"B";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1136019";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";"";"";"0.018"
"CHEMBL25752";"";"None";"888.08";"3";"6.54";"13";"COc1ccc(CNC(=O)[C@@H](NC(=O)[C@H](NCc2ccc(Oc3ccccc3)cc2)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)OCc2ccccc2)C(C)(C)C)C(C)C)c(O)c1";"IC50";"'>'";"20000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL615352";"Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome";"B";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1136019";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";"";"";"20.0"
"CHEMBL4777320";"";"None";"487.65";"1";"6.84";"18";"COc1ccc2c(c1)N=C(c1ccccc1)N(C1CCN(Cc3ccccc3)CC1)C2c1ccccc1";"FC";"'='";"5.5";"";"";"";"";"";"";"";"";"";"0";"CHEMBL4736902";"Activation of human 20S proteosome assessed as fold increase in proteosome activity at 1.3 uM using mixture of chymotrypsin-like Suc-LLVY-AMC, trypsin-like Boc-LRR-AMC and caspase-like Z-LLE-AM fluorogenic peptides as substrates by fluorescence assay relative to control";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL4732168";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2021";"None";"Dose = 1.3 microM";"ACTIVATOR";"";"5.5"
